Mole Fraction of CO,Hydrocarbon production,Coverage fraction of CO,Coverage fraction of H,Coverage fraction of C,Coverage fraction of empty sites,Average hydrocarbon production,
0.147,15292,0.0066,0.6376,0.0572,0.2986,0.030584,
0.148,15902,0.0078,0.6374,0.0551,0.2997,0.031804,
0.149,15617,0.0063,0.641,0.0599,0.2928,0.031234,
0.15,16098,0.0067,0.6292,0.0607,0.3034,0.032196,
0.151,15971,0.0067,0.6318,0.0616,0.2999,0.031942,
0.152,16196,0.0062,0.619,0.061,0.3138,0.032392,
0.153,16357,0.0098,0.5976,0.0612,0.3314,0.032714,
0.154,16587,0.0052,0.6172,0.0628,0.3148,0.033174,
0.155,16392,0.0046,0.6266,0.0574,0.3114,0.032784,
0.156,17328,0.0075,0.6094,0.0634,0.3197,0.034656,
0.157,16902,0.0082,0.6248,0.0651,0.3019,0.033804,
0.158,17497,0.0061,0.6236,0.0644,0.3059,0.034994,
0.159,17589,0.0066,0.6172,0.0591,0.3171,0.035178,
0.16,18208,0.0089,0.5966,0.0673,0.3272,0.036416,
0.161,17767,0.007,0.5918,0.0655,0.3357,0.035534,
0.162,18037,0.0091,0.597,0.0663,0.3276,0.036074,
0.163,18309,0.0089,0.6062,0.0648,0.3201,0.036618,
0.164,18555,0.0078,0.595,0.0695,0.3277,0.03711,
0.165,18813,0.0079,0.5884,0.0691,0.3346,0.037626,
0.166,18809,0.0086,0.5818,0.0671,0.3425,0.037618,
0.167,19469,0.0103,0.6002,0.0702,0.3193,0.038938,
0.168,19622,0.0102,0.5622,0.0755,0.3521,0.039244,
0.169,19869,0.0112,0.5634,0.0742,0.3512,0.039738,
0.17,20040,0.0102,0.553,0.0755,0.3613,0.04008,
0.171,19398,0.0129,0.5614,0.0787,0.347,0.038796,
0.172,20777,0.0102,0.5664,0.0708,0.3526,0.041554,
0.173,20485,0.0119,0.557,0.0698,0.3613,0.04097,
0.174,20995,0.0139,0.5448,0.0784,0.3629,0.04199,
0.175,21006,0.0137,0.5464,0.0782,0.3617,0.042012,
0.176,21054,0.0135,0.545,0.0779,0.3636,0.042108,
0.177,21418,0.0144,0.5454,0.0805,0.3597,0.042836,
0.178,21377,0.0156,0.5408,0.0822,0.3614,0.042754,
0.179,21940,0.0129,0.53,0.0837,0.3734,0.04388,
0.18,21489,0.0153,0.5288,0.0848,0.3711,0.042978,
0.181,21916,0.0118,0.541,0.0767,0.3705,0.043832,
0.182,22248,0.0148,0.5338,0.0816,0.3698,0.044496,
0.183,22318,0.0149,0.5352,0.0807,0.3692,0.044636,
0.184,23014,0.0118,0.5284,0.0838,0.376,0.046028,
0.185,22419,0.0159,0.5112,0.089,0.3839,0.044838,
0.186,23455,0.0182,0.504,0.091,0.3868,0.04691,
0.187,23206,0.0186,0.5014,0.0847,0.3953,0.046412,
0.188,23033,0.0141,0.5216,0.0875,0.3768,0.046066,
0.189,23240,0.019,0.4878,0.0983,0.3949,0.04648,
0.19,23757,0.017,0.5114,0.0905,0.3811,0.047514,
0.191,24055,0.0195,0.4934,0.0928,0.3943,0.04811,
0.192,23659,0.0167,0.5028,0.0904,0.3901,0.047318,
0.193,24525,0.0185,0.4906,0.0907,0.4002,0.04905,
0.194,24683,0.0198,0.4986,0.0979,0.3837,0.049366,
0.195,24572,0.0221,0.4876,0.0958,0.3945,0.049144,
0.196,24579,0.0279,0.4812,0.0987,0.3922,0.049158,
0.197,24859,0.024,0.4782,0.0972,0.4006,0.049718,
0.198,25356,0.0243,0.4704,0.1011,0.4042,0.050712,
0.199,25017,0.0244,0.463,0.0966,0.416,0.050034,
0.2,25366,0.0301,0.4582,0.0977,0.414,0.050732,
0.201,25519,0.0204,0.4792,0.0976,0.4028,0.051038,
0.202,25723,0.0244,0.4692,0.0953,0.4111,0.051446,
0.203,25953,0.0231,0.4854,0.093,0.3985,0.051906,
0.204,26064,0.0257,0.459,0.0989,0.4164,0.052128,
0.205,26348,0.0279,0.4432,0.1071,0.4218,0.052696,
0.206,26485,0.0326,0.441,0.1016,0.4248,0.05297,
0.207,26639,0.0338,0.445,0.108,0.4132,0.053278,
0.208,26623,0.0321,0.4322,0.1041,0.4316,0.053246,
0.209,26855,0.0306,0.4552,0.1038,0.4104,0.05371,
0.21,27180,0.0353,0.4408,0.1057,0.4182,0.05436,
0.211,26947,0.0286,0.459,0.1031,0.4093,0.053894,
0.212,27191,0.0394,0.4444,0.1072,0.409,0.054382,
0.213,27214,0.0361,0.4384,0.1071,0.4184,0.054428,
0.214,27586,0.0389,0.4178,0.1125,0.4308,0.055172,
0.215,27365,0.0336,0.428,0.1062,0.4322,0.05473,
0.216,27863,0.0369,0.4376,0.1102,0.4153,0.055726,
0.217,27779,0.0414,0.4128,0.1134,0.4324,0.055558,
0.218,28138,0.0442,0.4184,0.1136,0.4238,0.056276,
0.219,28167,0.0409,0.4218,0.1139,0.4234,0.056334,
0.22,28586,0.045,0.4072,0.111,0.4368,0.057172,
0.221,28203,0.041,0.4224,0.1136,0.423,0.056406,
0.222,28593,0.0528,0.3946,0.1155,0.4371,0.057186,
0.223,28529,0.0494,0.3994,0.1142,0.437,0.057058,
0.224,29225,0.0518,0.3918,0.1145,0.4419,0.05845,
0.225,28821,0.0485,0.3918,0.1209,0.4388,0.057642,
0.226,29029,0.0493,0.3966,0.1156,0.4385,0.058058,
0.227,29015,0.0536,0.3876,0.1198,0.439,0.05803,
0.228,29313,0.058,0.3922,0.1188,0.431,0.058626,
0.229,29349,0.0593,0.3842,0.1167,0.4398,0.058698,
0.23,29835,0.0573,0.3802,0.1193,0.4432,0.05967,
0.231,29800,0.064,0.3666,0.124,0.4454,0.0596,
0.232,29539,0.0647,0.3714,0.1216,0.4423,0.059078,
0.233,29720,0.0619,0.3678,0.1242,0.4461,0.05944,
0.234,29883,0.0648,0.378,0.123,0.4342,0.059766,
0.235,30106,0.0714,0.3628,0.1182,0.4476,0.060212,
0.236,30009,0.0681,0.3596,0.1247,0.4476,0.060018,
0.237,29957,0.0867,0.3418,0.1318,0.4397,0.059914,
0.238,29979,0.0819,0.359,0.1288,0.4303,0.059958,
0.239,30350,0.0821,0.3514,0.1191,0.4474,0.0607,
0.24,29766,0.1049,0.3352,0.1317,0.4282,0.059532,
0.241,30653,0.0759,0.3466,0.1278,0.4497,0.061306,
0.242,29441,0.0947,0.339,0.125,0.4413,0.058882,
0.243,29433,0.1087,0.3274,0.1261,0.4378,0.058866,
0.244,29781,0.1184,0.3096,0.1314,0.4406,0.059562,
0.245,29788,0.1209,0.3192,0.1319,0.428,0.059576,
0.246,29311,0.1223,0.3068,0.128,0.4429,0.058622,
0.247,27981,0.1708,0.2862,0.1329,0.4101,0.055962,
0.248,0,0.8887,0.0146,0.0967,0,0,
0.249,0,0.8837,0.0152,0.1011,0,0,
0.25,0,0.8803,0.0136,0.1061,0,0,
0.251,0,0.88,0.0162,0.1038,0,0,
0.252,0,0.8746,0.0176,0.1078,0,0,
0.253,1459,0.8399,0.0298,0.1108,0.0195,0.002918,
0.254,0,0.878,0.0154,0.1066,0,0,
0.255,0,0.8746,0.0168,0.1086,0,0,
0.256,0,0.8714,0.0174,0.1112,0,0,
0.257,0,0.868,0.0192,0.1128,0,0,
0.258,0,0.8736,0.0166,0.1098,0,0,
0.259,0,0.8663,0.0176,0.1161,0,0,
0.26,0,0.8758,0.0172,0.107,0,0,
0.261,0,0.864,0.0198,0.1162,0,0,
0.262,0,0.8698,0.0194,0.1108,0,0,
0.263,0,0.8626,0.0208,0.1166,0,0,
0.264,0,0.871,0.018,0.111,0,0,
0.265,0,0.8712,0.019,0.1098,0,0,
0.266,0,0.8633,0.0216,0.1151,0,0,
0.267,0,0.8622,0.02,0.1178,0,0,
0.268,0,0.8599,0.021,0.1191,0,0,
0.269,0,0.8605,0.0196,0.1199,0,0,
0.27,0,0.8587,0.022,0.1193,0,0,
0.271,0,0.867,0.0188,0.1142,0,0,
0.272,0,0.8597,0.0196,0.1207,0,0,
0.273,0,0.8639,0.0206,0.1155,0,0,
0.274,0,0.8574,0.022,0.1206,0,0,
0.275,0,0.8534,0.0224,0.1242,0,0,
0.276,0,0.8595,0.0204,0.1201,0,0,
0.277,0,0.8556,0.023,0.1214,0,0,
0.278,0,0.8588,0.0224,0.1188,0,0,
0.279,0,0.8547,0.0228,0.1225,0,0,
0.28,0,0.8633,0.0214,0.1153,0,0,
0.281,0,0.857,0.0196,0.1234,0,0,
0.282,0,0.8547,0.021,0.1243,0,0,
0.283,0,0.8635,0.0194,0.1171,0,0,
0.284,0,0.8537,0.0236,0.1227,0,0,
0.285,0,0.8576,0.0212,0.1212,0,0,
0.286,0,0.8594,0.0218,0.1188,0,0,
0.287,0,0.8563,0.0222,0.1215,0,0,
0.288,0,0.849,0.0252,0.1258,0,0,
0.289,0,0.8533,0.0224,0.1243,0,0,
0.29,0,0.8599,0.0208,0.1193,0,0,
0.291,0,0.8541,0.023,0.1229,0,0,
0.292,0,0.8584,0.0216,0.12,0,0,
0.293,0,0.849,0.0232,0.1278,0,0,
0.294,0,0.855,0.0232,0.1218,0,0,
0.295,0,0.8512,0.0226,0.1262,0,0,
0.296,0,0.8561,0.023,0.1209,0,0,
0.297,0,0.8493,0.0248,0.1259,0,0,
0.298,0,0.8524,0.0232,0.1244,0,0,
0.299,0,0.8491,0.0224,0.1285,0,0,
0.3,0,0.8489,0.022,0.1291,0,0,
0.301,0,0.8492,0.0242,0.1266,0,0,
0.302,0,0.8522,0.023,0.1248,0,0,
0.303,0,0.8482,0.0234,0.1284,0,0,
0.304,0,0.8459,0.0254,0.1287,0,0,
0.305,0,0.8456,0.0232,0.1312,0,0,
0.306,0,0.8463,0.024,0.1297,0,0,
0.307,0,0.8565,0.0212,0.1223,0,0,
0.308,0,0.8494,0.024,0.1266,0,0,
0.309,0,0.8471,0.0234,0.1295,0,0,
0.31,0,0.8523,0.0218,0.1259,0,0,
0.311,0,0.8479,0.023,0.1291,0,0,
0.312,0,0.8503,0.0244,0.1253,0,0,
0.313,0,0.8516,0.0238,0.1246,0,0,
0.314,0,0.8475,0.0238,0.1287,0,0,
0.315,0,0.8427,0.0258,0.1315,0,0,
0.315999,0,0.8438,0.0248,0.1314,0,0,
0.316999,0,0.8453,0.0248,0.1299,0,0,
0.317999,0,0.8429,0.0258,0.1313,0,0,
0.318999,0,0.841,0.0262,0.1328,0,0,
0.319999,0,0.8475,0.023,0.1295,0,0,
0.320999,0,0.8511,0.0234,0.1255,0,0,
0.321999,0,0.8427,0.0274,0.1299,0,0,
0.322999,0,0.849,0.023,0.128,0,0,
0.323999,0,0.8498,0.0234,0.1268,0,0,
0.324999,0,0.8469,0.0232,0.1299,0,0,
0.325999,0,0.8423,0.0262,0.1315,0,0,
0.326999,0,0.8429,0.0236,0.1335,0,0,
0.327999,0,0.8448,0.025,0.1302,0,0,
0.328999,0,0.8454,0.024,0.1306,0,0,
0.329999,0,0.8449,0.0236,0.1315,0,0,
0.330999,0,0.8483,0.025,0.1267,0,0,
