dist,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,3,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,5,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,5.9,6,6.1,6.2,6.3,6.4,6.5,6.6,6.7,6.8,6.9,7,7.1,7.2,7.3,7.4,7.5,7.6,7.7,7.8,7.9,8,8.1,8.2,8.3,8.4,8.5,8.6,8.7,8.8,8.9,9,9.1,9.2,9.3,9.4,9.5,9.6,9.7,9.8,9.9,10

n_points
1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,4,5,6,7,8,10,12,12,15,17,18,19,22,23,24,26,28,33,36,39,40,44,47,51,52,56,62,66,69,69,72,77,79,86,90,93,97,105,108,114,118,130,134,144,153,159,164,174,181,192,201,211,224,241,253,264,279,288,304,319,332,347,357,371,383,396,415,426,439,450,466,477,491,504,520,528,542,555,577,601
1200,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4,4,5,5,5,6,8,10,12,13,15,16,16,18,19,20,21,23,25,25,29,33,38,40,41,46,49,49,53,61,67,72,82,86,91,92,98,104,112,119,126,136,142,144,153,155,161,165,172,180,187,194,203,208,216,221,228,236,240,243,261,274,279,289,298,302,320,334,345,357,377,390,401,412,432,445,454,471,485,501,524,540,555,579,601,618,641
1300,0,0,0,0,1,1,1,1,1,1,1,2,2,4,4,4,4,5,7,9,9,11,11,12,13,14,14,18,21,23,23,25,29,29,31,38,41,44,49,55,59,63,69,74,75,79,83,90,94,103,111,122,129,131,140,149,157,161,164,171,179,182,189,196,203,209,217,221,230,241,246,252,260,264,274,285,300,313,325,340,348,357,366,376,397,408,423,436,449,465,485,501,516,538,552,573,600,619,635,656,679
1400,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3,3,3,6,8,10,10,10,12,13,14,15,20,22,22,23,27,30,32,34,38,39,42,45,46,50,56,60,63,70,73,77,83,85,89,94,102,106,110,116,121,125,135,147,156,165,173,181,189,194,204,213,229,238,248,257,268,280,290,297,309,317,335,350,366,380,392,410,425,438,454,470,486,501,517,535,556,574,593,616,637,657,681,699,723,743
1500,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,3,4,4,5,5,5,5,6,9,12,12,13,19,22,24,26,26,27,29,32,39,43,47,52,57,60,65,69,74,81,87,92,96,102,109,118,127,135,149,154,159,167,172,177,189,199,208,224,243,249,257,266,280,289,305,317,336,349,360,374,389,406,423,443,460,478,499,517,529,545,570,585,608,627,657,687,710,732,754,768,791
1600,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,4,4,5,5,8,8,10,10,12,13,14,17,18,18,19,23,26,29,34,36,43,47,51,57,61,62,65,73,78,85,91,98,101,110,118,128,134,141,149,156,163,172,175,181,190,198,206,215,223,230,235,246,254,264,279,291,305,319,329,346,365,384,395,405,419,442,461,487,514,532,558,590,609,633,657,673,699,733,758,783,809,830,853
1700,0,0,0,0,0,0,0,1,2,2,3,3,3,4,4,4,5,6,8,8,8,10,11,12,13,13,15,18,19,19,20,23,26,28,32,33,34,38,45,48,54,66,74,78,83,96,102,109,118,125,137,143,150,165,175,187,193,200,208,220,228,236,248,258,267,275,286,299,312,317,330,339,351,361,370,381,397,416,432,443,464,481,501,519,536,559,573,589,613,637,663,680,700,713,729,743,772,794,821,844,871
1800,0,0,0,0,0,0,0,0,1,1,1,1,2,3,3,4,4,4,4,5,5,7,8,9,11,14,18,19,21,23,24,28,31,35,38,41,43,45,46,47,54,61,66,69,72,74,76,84,89,93,100,106,113,123,131,138,146,153,164,170,176,185,198,210,227,241,255,269,286,299,311,326,347,362,379,397,409,418,432,457,475,489,506,528,556,587,608,624,647,672,689,716,741,765,784,813,840,863,883,916,949
1900,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,3,6,7,8,10,12,15,15,19,20,25,28,32,35,40,42,47,51,56,65,69,77,80,89,100,104,112,122,127,131,141,153,156,164,170,177,184,191,201,218,230,239,249,254,265,276,291,305,315,326,340,348,360,375,396,408,424,444,464,484,501,522,547,567,597,627,644,670,689,718,749,780,808,838,867,901,937,966,999,1020
2000,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,3,6,7,8,8,9,9,9,13,16,19,22,23,25,29,31,33,37,41,50,54,57,58,63,68,73,78,87,94,97,103,110,117,120,123,133,139,148,159,163,170,183,196,204,223,233,247,258,270,281,294,307,316,333,352,362,371,394,408,416,431,462,481,500,514,539,561,586,613,633,649,675,696,726,748,783,805,826,858,889,917,943,985,1015,1045
2100,0,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3,4,6,7,7,8,9,10,11,12,14,16,22,25,26,29,34,34,38,40,45,48,52,57,61,66,73,80,86,89,98,103,112,120,126,133,143,151,155,160,175,189,204,216,225,236,249,258,271,282,293,312,322,343,357,373,383,402,416,438,446,470,494,517,533,553,585,613,638,668,685,709,740,760,781,810,839,873,895,915,943,976,1007,1034,1063,1096
2200,0,0,0,0,0,0,0,0,0,0,1,1,2,3,4,4,4,5,8,8,9,11,15,16,19,22,24,26,27,30,34,37,41,46,49,55,58,59,66,70,74,79,85,90,98,103,113,124,129,139,144,153,161,173,180,187,195,206,218,228,240,257,280,288,301,312,325,338,354,372,384,406,419,432,445,456,468,481,498,517,541,560,582,602,623,645,669,692,725,750,785,820,850,884,923,953,988,1027,1055,1095,1127
2300,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,3,3,6,8,9,11,12,13,13,16,18,21,24,29,32,34,35,39,43,46,49,58,61,63,66,80,86,94,102,107,113,119,128,136,144,155,164,171,179,196,204,212,226,239,253,265,278,287,301,318,341,357,374,395,412,430,447,468,487,507,530,553,574,597,616,642,664,699,725,742,771,788,809,835,864,905,933,961,998,1025,1055,1091,1119,1153,1192
2400,0,0,1,1,1,1,1,1,1,1,1,1,2,4,4,5,6,7,11,13,13,15,19,21,27,30,30,30,35,40,44,47,50,53,54,59,60,64,68,72,75,76,82,93,97,103,108,116,122,138,146,155,167,176,186,193,208,225,239,254,262,273,287,299,314,324,339,367,384,397,418,432,449,479,500,520,547,571,592,621,650,675,698,719,747,773,803,828,845,873,912,941,978,1002,1031,1066,1107,1154,1187,1223,1265
